gene	Estimate	Std. Error	z value	Pr(>|z|)	entrezgene_id	entrezgene_description	external_gene_name	gene_gff	description	gene_name	gene.y	FDR_tol	gene.z	logFC	logCPM	F	PValue	FDR_inf
LOC103821437	7.944921791149176	10.021515603488778	0.7927864512213423	0.4279022516341964	103821437	spermatogenesis associated 5	AFG2A	SPATA5	spermatogenesis associated 5	SPATA5	103821437	0.4991451564767102	103821437	0.061555149822537555	-0.9595308658573976	0.15172135385613747	0.697652519609377	0.8323596023294383
LOC103821438	11.361815476319993	35.77123594263589	0.3176243475215738	0.750769903175704	103821438	NA	NA	FAT4	FAT atypical cadherin 4	FAT4	103821438	0.7975275486386186	103821438	-0.03158534468543987	-0.1443261845664749	0.04808102618548486	0.8268855662593705	0.9092825259601783
LOC103821439	-0.3797718940334186	0.9625124573844196	-0.394563094866772	0.693165354226144	103821439	NA	NA	HSPA4L	heat shock protein family A (Hsp70) member 4 like	HSPA4L	103821439	0.7486641855480662	103821439	-0.21665672120189308	5.351925518827675	5.320753765306491	0.023098351825070567	0.11571956524594804
LOC103821440	-10.478225751331184	9.390341885474468	-1.115851358675185	0.2644857655427219	103821440	NA	NA	PLK4	polo like kinase 4	PLK4	103821440	0.3285583453456067	103821440	-0.05446043873710813	-0.4897993330804223	0.16257680921128476	0.6876501903248351	0.8267993106138124
LOC103821441	-0.7830214956674343	1.4011337293072736	-0.5588485090959614	0.5762651130596185	103821441	NA	NA	LARP1B	La ribonucleoprotein 1B	LARP1B	103821441	0.6422201046160991	103821441	-0.06506139841103804	11.142412045248124	2.101329353895195	0.15024425684306691	0.3497793982903652
LOC103821442	2.747877499897493	1.1031049156551074	2.4910391213927237	0.012737009435365751	103821442	progesterone receptor membrane component 2	PGRMC2	PGRMC2	progesterone receptor membrane component 2	PGRMC2	103821442	0.038612036543329245	103821442	-0.27692748945217743	4.088110224355767	11.922135980017957	8.094379997328523e-4	0.021812855133541604
LOC103821447	-1.4140674736392678	1.1158855160976473	-1.2672155460753625	0.20507822850814444	103821447	Rieske Fe-S domain containing	RFESD	RFESD	Rieske Fe-S domain containing	RFESD	103821447	0.26324479279238494	103821447	0.017180985024059094	8.049660272934656	0.0809628776074478	0.7765746460761498	0.8797545074758242
LOC103821448	0.04490947989699349	0.5268300880324793	0.08524471346105957	0.932066843722929	103821448	NA	NA	RHOBTB3	Rho related BTB domain containing 3	RHOBTB3	103821448	0.9473250038646649	103821448	-0.27651420606281946	4.800612700418696	3.0759464961213636	0.08246748871255695	0.24833100722071288
LOC103821449	-3.4913147983999724	1.5806743117817108	-2.208750260807755	0.02719201640408216	103821449	3'-5' RNA helicase YTHDC2-like	NA	LOC103821449	3'-5' RNA helicase YTHDC2-like	LOC103821449	103821449	0.07367358044843808	103821449	0.08690590005064139	5.290296851033125	2.106266842541376	0.1497709574818561	0.34897587944967534
LOC103821450	-5.0037312172589266	1.717631225058113	-2.913158042460269	0.003577934690134203	103821450	NA	NA	PGGT1B	protein geranylgeranyltransferase type I subunit beta	PGGT1B	103821450	0.023293306884048678	103821450	0.25701053094769943	3.4948966100159784	9.3193944966637	0.0028929441088730084	0.039296409042334696
LOC103821451	1.580544094847675	4.478908575543096	0.3528859917967903	0.7241739130339524	103821451	coiled-coil domain containing 112	CCDC112	CCDC112	coiled-coil domain containing 112	CCDC112	103821451	0.7749413766762309	103821451	-0.05378889860868753	-0.6956546050260011	0.11859593283493843	0.7312613890448378	0.8545868722599165
LOC103821452	-3.8824460799891924	2.0796486179379086	-1.8668759936180284	0.06191890700353154	103821452	fem-1 homolog C	NA	FEM1C	fem-1 homolog C	FEM1C	103821452	0.14019069042573123	103821452	0.10255865783923214	4.980285806746292	3.568324234254994	0.06173735058301072	0.20776660012825712
LOC103821455	-1.0006054533698776	1.9966339394098824	-0.5011461708727704	0.616268254794194	103821455	casein kinase 1 gamma 3	CSNK1G3	CSNK1G3	casein kinase 1 gamma 3	CSNK1G3	103821455	0.679513462217495	103821455	0.007419945416937057	2.0421027790096367	0.005954165499711647	0.9386453700316757	0.9701113227770557
LOC103821456	-0.5077165606267332	1.4733330051028284	-0.3446040771965861	0.7303920401897588	103821456	NA	NA	TBCC	tubulin folding cofactor C	TBCC	103821456	0.7802476655254601	103821456	-0.05816623522341773	7.993810006689373	1.3269276633408265	0.25205003242018587	0.472343178089447
LOC103821457	-0.8435667087528846	1.35331237552119	-0.6233348072561656	0.5330645290332297	103821457	centrosomal protein 120	CEP120	CEP120	centrosomal protein 120	CEP120	103821457	0.6015066584052877	103821457	0.030202471025962813	5.238193849611147	0.20809629928916437	0.6492351539604488	0.8014733654894336
LOC103821459	1.010013678611335	3.6292409524694866	0.2782988762220595	0.7807829387027141	103821459	NA	NA	PPIC	peptidylprolyl isomerase C	PPIC	103821459	0.8235744991443367	103821459	0.37625159428974403	-1.2781875450901592	4.683710110257132	0.032338968983944893	0.14180293591433288
LOC103821460	5.491364486886849	3.0049384236661134	1.8274465937931674	0.06763264915608792	103821460	sorting nexin 24	SNX24	SNX24	sorting nexin 24	SNX24	103821460	0.14827070857922087	103821460	0.08839117221055924	0.04094283574011557	0.5593936519464736	0.4562774369225814	0.6571406633113029
LOC103821461	-0.48068583341125637	1.375485236797438	-0.3494663705227721	0.7267392136511606	103821461	sorting nexin 2	NA	SNX2	sorting nexin 2	SNX2	103821461	0.7772052420370726	103821461	-0.05082641363314126	5.460791310396324	0.9725586816492345	0.32638056632559864	0.5473882987980792
LOC103821464	-0.9449136571122317	1.636284142912176	-0.5774752882653511	0.5636184274771951	103821464	serum response factor binding protein 1	SRFBP1	SRFBP1	serum response factor binding protein 1	SRFBP1	103821464	0.6304584692462858	103821464	-0.03219964109221467	3.146969189007736	0.3177238796988966	0.5742185564996958	0.7463405175226486
LOC103821465	4.16703854470288	1.8604253507882542	2.2398310918185045	0.02510189055542689	103821465	hydroxysteroid 17-beta dehydrogenase 4	HSD17B4	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4	HSD17B4	103821465	0.06890690364491987	103821465	-0.06913239427204358	3.7438092445919233	1.5781597653644979	0.2119012169068857	0.4262237156877536
LOC103821466	0.15647024785342553	0.7023793882909236	0.22277169641062414	0.8237131974648404	103821466	TNF alpha induced protein 8	TNFAIP8	TNFAIP8	TNF alpha induced protein 8	TNFAIP8	103821466	0.8592444169508212	103821466	0.14974178142009945	3.9078965969073334	1.6640608331136229	0.1999785183015611	0.4102763551065526
LOC103821468	-0.8248070327337188	0.8772856656280387	-0.9401806789391104	0.3471248906246555	103821468	NA	NA	DMXL1	Dmx like 1	DMXL1	103821468	0.41686473277385383	103821468	-0.06242924598786988	9.240306995066513	0.7771513394302351	0.3800900586188496	0.5992059655880578
LOC103821471	-1.2601401882832501	0.9079755984271184	-1.3878568878571018	0.16518062799740385	103821471	NA	NA	ATG12	autophagy related 12	ATG12	103821471	0.21939932299592307	103821471	0.05324187831216713	4.04699113796193	0.6531317088219262	0.4208796488420936	0.6295698441820401
LOC103821472	0.8169266544402074	0.7436969791047586	1.0984670872585776	0.2720005818084337	103821472	adaptor related protein complex 3 subunit sigma 1	AP3S1	AP3S1	adaptor related protein complex 3 subunit sigma 1	AP3S1	103821472	0.33672160400777107	103821472	-0.06277272340308887	4.4808628646592625	0.5234616129372955	0.4710277915565454	0.6683253636804338
LOC103821474	-0.4359890873734441	0.8959433077765661	-0.48662575364888244	0.6265235694755977	103821474	NA	NA	LOC103821474	E3 ubiquitin-protein ligase BRE1A	LOC103821474	103821474	0.6891780253999054	103821474	-0.003784201010886826	5.4525609719013115	0.003149555566554843	0.9553554730905256	0.9788537019630112
LOC103821475	0.6187251913930155	0.9802365752143131	0.6311998623982594	0.5279098519351384	103821475	NA	NA	LOC103821475	39S ribosomal protein L50, mitochondrial	LOC103821475	103821475	0.5966949663822622	103821475	0.025023740226982914	2.098594169152926	0.1027914433684984	0.7491632581281247	0.8658306394372519
LOC103821476	-0.26145588266907693	0.8704373297202449	-0.3003730122111236	0.7638926469230912	103821476	NA	NA	ZFP36L2	ZFP36 ring finger protein like 2	ZFP36L2	103821476	0.8090855215829929	103821476	0.019211595202067056	8.267355467080687	0.09928522652525158	0.7533339189200994	0.8676384995671981
LOC103821479	-8.879737255037728	3.08180524183425	-2.881342770950907	0.003959847443862405	103821479	NA	NA	TRIM36	tripartite motif containing 36	TRIM36	103821479	0.023293306884048678	103821479	0.08431953951055139	2.7092335455022356	0.7331672764150651	0.39387043467150273	0.6081060862929383
LOC103821480	-0.35690719010262395	0.8573025144201852	-0.4163141762671827	0.6771801204483421	103821480	NA	NA	ALDH7A1	aldehyde dehydrogenase 7 family member A1	ALDH7A1	103821480	0.7343703826271053	103821480	0.29682032453508456	2.719506524216996	7.1769257019919594	0.008613212452572289	0.06891832896435042
LOC103821487	1.0098995030060611	1.58167903926834	0.6384983792117678	0.5231493087770973	103821487	leucine rich pentatricopeptide repeat containing	LRPPRC	LRPPRC	leucine rich pentatricopeptide repeat containing	LRPPRC	103821487	0.5919866420039707	103821487	-0.3295756032153562	3.604759527868405	10.67375893975132	0.0014817851745698672	0.029244490768997346
LOC103821488	-4.3259932273814785	21.216836753165744	-0.20389435417303672	0.8384360571239798	103821488	NA	NA	SEMA6A	semaphorin 6A	SEMA6A	103821488	0.8713153821683417	103821488	0.1811678552586068	-1.265775265938764	0.7801548054996152	0.37880548762316413	0.5982476076244277
LOC103821489	2.354941210036638	1.3867588263922406	1.6981620489578553	0.08947718118096613	103821489	NA	NA	COMMD10	COMM domain containing 10	COMMD10	103821489	0.1579754812587004	103821489	-0.006605846594988732	2.1744429853911407	0.005824965921298125	0.9393133196053501	0.9706178347067592
LOC103821490	-3.1773008067477617	3.122145653166759	-1.0176657849146338	0.30883681261239976	103821490	NA	NA	CDO1	cysteine dioxygenase type 1	CDO1	103821490	0.37641886875220065	103821490	0.15567147103701537	-1.1098468951301281	0.5226428906253182	0.4711526869696886	0.6683253636804338
LOC103821491	-2.7162534228015915	1.6058304738973068	-1.6914945051511685	0.09074239637127052	103821491	NA	NA	TMED7	transmembrane p24 trafficking protein 7	TMED7	103821491	0.1579754812587004	103821491	0.043322136097501386	4.28753220395748	0.702410727075668	0.40393812024194664	0.6157229213764152
LOC103821492	1.2996718472411823	1.0749457232431876	1.2090581125528646	0.22664052020841935	103821492	NA	NA	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated	LSM5	103821492	0.28710655660030254	103821492	-0.17870035617900504	0.12637674966394558	2.1733676759465563	0.14359008764898687	0.34066117471370055
LOC103821494	0.23556249806488946	0.7155626465412527	0.32919898656463636	0.7420052888903768	103821494	dual specificity phosphatase 10	DUSP10	DUSP10	dual specificity phosphatase 10	DUSP10	103821494	0.7901855752279006	103821494	0.10521810599608218	5.64619604023037	1.4643662109255062	0.2290385065797529	0.4465964874521473
LOC103821495	1.2486568542877419	1.7536073546579827	0.7120504205066336	0.4764335542180649	103821495	NA	NA	MARK1	microtubule affinity regulating kinase 1	MARK1	103821495	0.5469870757536139	103821495	-0.05923838999404625	3.327020483524224	1.1143860395803982	0.2936296523801068	0.5156354024258223
LOC103821496	-2.689099699901005	1.8916650560189945	-1.4215517125215655	0.1551564311994471	103821496	NA	NA	RAB3GAP2	RAB3 GTPase activating non-catalytic protein subunit 2	RAB3GAP2	103821496	0.20856490059783206	103821496	-0.06941790068900418	6.964365962153793	2.407106117236316	0.12388822592727529	0.3127753821974594
LOC103821498	12.050213478954786	7.474094792545105	1.6122639347542187	0.10690451782136043	103821498	prolyl endopeptidase like	PREPL	PREPL	prolyl endopeptidase like	PREPL	103821498	0.16211336291693285	103821498	0.023097874110376195	0.09466545156168782	0.02645960994519681	0.8711142643721749	0.9338317533992649
LOC103821499	3.219226852689721	1.688514320500616	1.906544003568341	0.05657966226190139	103821499	isoleucyl-tRNA synthetase 2, mitochondrial	IARS2	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	IARS2	103821499	0.13172634409042547	103821499	-0.08702315931450758	3.5879477382316822	1.8267412360714637	0.1795087363278349	0.38755373444049346
LOC103821500	2.663183218588526	2.072227903545377	1.285178726737577	0.19872983570950636	103821500	3'(2'), 5'-bisphosphate nucleotidase 1	BPNT1	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	BPNT1	103821500	0.25639889291076	103821500	0.04746191002503684	1.7008057422973804	0.5171335603631866	0.47371880045707637	0.6703639526420504
LOC103821502	0.08450146098226737	0.1921046672618938	0.4398719832614354	0.6600298285854158	103821502	lysophospholipase like 1	LYPLAL1	LYPLAL1	lysophospholipase like 1	LYPLAL1	103821502	0.7191922275171254	103821502	0.5636814990084495	3.826387097195429	2.1478911542655	0.14584791147596857	0.34320485249002175
LOC103821503	-6.2898348745752415	9.676011779280067	-0.6500441522863907	0.5156637020847409	103821503	transforming growth factor beta 2	TGFB2	TGFB2	transforming growth factor beta 2	TGFB2	103821503	0.5847049761456775	103821503	0.025554310979754587	-0.5933534553836886	0.020285166930003543	0.8870257750481889	0.9429238637261063
LOC103821504	0.5249768327261799	3.4697997007763752	0.15129888696708205	0.8797399472470867	103821504	G-patch domain containing 2	GPATCH2	GPATCH2	G-patch domain containing 2	GPATCH2	103821504	0.9049021467971192	103821504	0.35449734705500097	1.4291045423080915	8.662645896887016	0.004026926503849273	0.0461173933504837
LOC103821505	0.3572941148362537	8.248291334460204	0.043317349054285824	0.965448561657043	103821505	estrogen related receptor gamma	ESRRG	ESRRG	estrogen related receptor gamma	ESRRG	103821505	0.9738123025757972	103821505	0.22462073765524695	0.40370172497974754	4.961020844407618	0.028171953894889506	0.13072649013980614
LOC103821507	-0.6247450383359736	1.009360167082944	-0.6189515484264552	0.5359482780939075	103821507	potassium channel tetramerization domain containing 3	KCTD3	KCTD3	potassium channel tetramerization domain containing 3	KCTD3	103821507	0.6043245222341206	103821507	-0.024930920319699866	5.271776548276168	0.12901590128101775	0.7201983862821687	0.8484833243717901
LOC103821509	19.05240773053586	13.588485982627077	1.4020993769942012	0.16088557309931412	103821509	centromere protein F	CENPF	CENPF	centromere protein F	CENPF	103821509	0.21483252296323072	103821509	-0.15704463213957232	0.25114023730974694	0.9992012616274015	0.3199323997766257	0.5415232957757589
LOC103821510	-7.8532922437564485	6.89424233804951	-1.139108818443169	0.25465776986202565	103821510	protein tyrosine phosphatase non-receptor type 14	PTPN14	PTPN14	protein tyrosine phosphatase non-receptor type 14	PTPN14	103821510	0.3177802225467372	103821510	-0.04916110292796289	0.5010627014434625	0.048725124034572596	0.8257468014490461	0.9086711626350967
LOC103821511	10.073346759915767	26.895354321632585	0.37453854072535975	0.7080036883020695	103821511	prospero homeobox 1	PROX1	PROX1	prospero homeobox 1	PROX1	103821511	0.7616090522461799	103821511	0.31279064677612634	-1.23493512799389	2.3573599377523937	0.12725849463194572	0.3182378992451205
LOC103821512	-0.18472554730303203	4.88996895572399	-0.037776425367036355	0.9698659407843432	103821512	ribosomal protein S6 kinase C1	RPS6KC1	RPS6KC1	ribosomal protein S6 kinase C1	RPS6KC1	103821512	0.9771572708494621	103821512	0.0985635032726983	1.8266711685086283	1.6989201445443434	0.1953756727650763	0.4049240585943872
LOC103821513	-0.15169893766460033	1.391708024032716	-0.10900198536258078	0.9132009156282355	103821513	angel homolog 2	ANGEL2	ANGEL2	angel homolog 2	ANGEL2	103821513	0.9321076493327991	103821513	0.06952773333907276	3.797986835647496	1.326886957283238	0.2520577835230539	0.472343178089447
LOC103821514	0.49218801211694746	0.2538267872375326	1.9390704088940582	0.05249276531570455	103821514	endothelial PAS domain protein 1	EPAS1	EPAS1	endothelial PAS domain protein 1	EPAS1	103821514	0.12504758313314276	103821514	-0.7347128758915179	8.96936004682442	17.109214267015037	7.273114800409106e-5	0.006153393405555425
LOC103821516	-1.7999056201773933	2.312818094090347	-0.7782305166050307	0.43643312944697543	103821516	NA	NA	NSL1	NSL1 component of MIS12 kinetochore complex	NSL1	103821516	0.5076644833762707	103821516	0.033626480881372656	3.277980023813302	0.3155813560698377	0.5755101574209265	0.7472183985358067
LOC103821519	-0.382428392638686	1.1932651696932683	-0.3204890265396669	0.7485976475994349	103821519	protein phosphatase 2 regulatory subunit B'alpha	PPP2R5A	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha	PPP2R5A	103821519	0.7956427429865355	103821519	0.10438944637027633	4.642214277631614	3.4203981676008617	0.06729634367883451	0.21865802170610296
LOC103821521	-5.660358901931121	3.328638878909631	-1.7005025500949795	0.08903643714364429	103821521	integrator complex subunit 7	INTS7	INTS7	integrator complex subunit 7	INTS7	103821521	0.1579754812587004	103821521	4.264574751579274e-4	3.744191815974944	6.675087622916923e-5	0.9934972484842362	0.9980661218592948
LOC103821522	-0.815539198871654	1.1291546019771037	-0.7222564540264709	0.4701368202571876	103821522	NA	NA	RHOQ	ras homolog family member Q	RHOQ	103821522	0.5409693287305337	103821522	0.6188533953731348	0.3095155094864009	16.945482453974204	7.939380379823436e-5	0.006255320812434822
LOC103821523	1.7264693925597312	1.666194655438942	1.0361750873008955	0.30012046696910993	103821523	lysophosphatidylglycerol acyltransferase 1	LPGAT1	LPGAT1	lysophosphatidylglycerol acyltransferase 1	LPGAT1	103821523	0.36733599539490625	103821523	0.22518689771159128	2.90025349316636	4.142080558252612	0.04442930903610924	0.1714038454648626
LOC103821524	0.4106475436273356	0.6547851455232717	0.6271485332782962	0.5305618760188677	103821524	NIMA related kinase 2	NEK2	NEK2	NIMA related kinase 2	NEK2	103821524	0.5991562729906621	103821524	-0.07743114155846195	6.125787552930987	0.8510113213222108	0.3584471823606179	0.5795690026876981
LOC103821525	-0.22125779438592336	0.9429366879605519	-0.23464756140147106	0.8144822913005556	103821525	solute carrier family 30 member 1	SLC30A1	SLC30A1	solute carrier family 30 member 1	SLC30A1	103821525	0.851390046151939	103821525	-0.031326862776660795	6.127935219608447	0.1810804087466054	0.6713444606332449	0.8157485463539562
LOC103821526	6.827113661441285	9.213884402737559	0.7409593351760376	0.45871809696621596	103821526	retinal degeneration 3, GUCY2D regulator	RD3	RD3	RD3 regulator of GUCY2D	RD3	103821526	0.5296648612951447	103821526	0.021129683618618732	-0.6863071770009519	0.010075820413433231	0.9202354689885509	0.9612796619966545
LOC103821527	0.8766862716831753	1.4310552578403506	0.6126152479997239	0.540130773607807	103821527	NA	NA	LOC103821527	pre-mRNA-splicing factor CWC22 homolog	LOC103821527	103821527	0.608265711267025	103821527	0.017879889442058546	2.5581911842783405	0.04831839589495972	0.8264561141908091	0.9090850665469149
LOC103821528	2.914326653338914	1.3891224830036235	2.0979623388122155	0.035908472389256915	103821528	TNF receptor associated factor 5	TRAF5	TRAF5	TNF receptor associated factor 5	TRAF5	103821528	0.09294590322655591	103821528	-0.05248482569281235	3.213403304007373	0.13867421603435975	0.7103768404118604	0.8412386212740447
LOC103821529	-2.937279671811874	2.9729248532326413	-0.9880100630925776	0.3231477198377968	103821529	NA	NA	RCOR3	REST corepressor 3	RCOR3	103821529	0.39149259217600985	103821529	0.18512151939475438	2.0681900163182814	5.488447626684531	0.021090563677880814	0.11050523858876198
LOC103821532	0.6424942897216648	1.7361673604624235	0.3700647209209936	0.7113342676356458	103821532	NA	NA	TTC7A	tetratricopeptide repeat domain 7A	TTC7A	103821532	0.7644404589908943	103821532	0.1478594215629767	2.604829227325783	2.130128470968847	0.14750939414467137	0.34543778676674763
LOC103821533	0.2526982320447176	1.1375719605286208	0.2221382389974615	0.8242062709884098	103821533	mitochondrial ribosomal protein S10	MRPS10	MRPS10	mitochondrial ribosomal protein S10	MRPS10	103821533	0.8596292589699642	103821533	0.11127349499014462	0.953495764940922	1.4110368815291323	0.2376744252642323	0.45708875371521257
LOC103821534	0.7912165439618076	1.459684263015107	0.5420463616751474	0.5877865681799082	103821534	transcriptional regulating factor 1	TRERF1	TRERF1	transcriptional regulating factor 1	TRERF1	103821534	0.6529105916850741	103821534	0.1876464944662862	2.924603659616522	2.2802767898364937	0.134127243292607	0.32829440082877615
LOC103821536	0.5091475427429618	0.7483892977866462	0.6803244571358256	0.49629904191634505	103821536	NA	NA	HLX	H2.0 like homeobox	HLX	103821536	0.5658939693805137	103821536	0.0341704019618044	7.893321096699158	0.1568172049987696	0.692932488965352	0.8300587404859897
LOC103821543	1.8288214745154252	0.7858269529739199	2.3272572512235024	0.01995157754428174	103821543	NA	NA	SLC30A10	solute carrier family 30 member 10	SLC30A10	103821543	0.05655128600560658	103821543	-0.4401801034649388	5.811308030525053	18.285520049164614	4.2962866079589223e-5	0.004833986808171513
LOC103821546	7.445663793832784	6.125938504522193	1.2154323436868268	0.22420123835639827	103821546	NA	NA	RRP15	ribosomal RNA processing 15 homolog	RRP15	103821546	0.28431266260597793	103821546	-0.020507065259168265	2.264073414857722	0.07778426474679272	0.780889222203835	0.8822593137818484
LOC103821549	-3.773356089039571	5.152767091216292	-0.7322970400645227	0.4639872855715067	103821549	NA	NA	SMYD2	SET and MYND domain containing 2	SMYD2	103821549	0.5350715978664952	103821549	0.3891090482267662	-1.4609633777360496	3.932602303067303	0.04933486132619684	0.18211008747285315
LOC103821550	-3.0726103069150343	2.513488338039673	-1.2224486027698993	0.22153802908905493	103821550	FLVCR heme transporter 1	FLVCR1	FLVCR1	FLVCR heme transporter 1	FLVCR1	103821550	0.2815879392656407	103821550	0.28791851022982573	2.312334058775227	6.169220587563747	0.01463311921569925	0.09048490828336635
LOC103821551	-0.42274520775537394	1.6283350874268694	-0.2596180669566024	0.795158398663557	103821551	ribokinase	RBKS	RBKS	ribokinase	RBKS	103821551	0.8355020925782652	103821551	0.0082608813569622	2.072239823344097	0.00888841924936022	0.9250735763695067	0.9636587775600645
LOC103821552	2.1629582176267967	1.8347218666211422	1.1789025121339731	0.23843699730715273	103821552	NA	NA	TATDN3	TatD DNase domain containing 3	TATDN3	103821552	0.2999325863758736	103821552	-0.06051067535898328	0.23925514392852362	0.3088171008950611	0.5796567493712761	0.7506376082864389
LOC103821558	1.1871173441717107	0.865554450070254	1.3715108784610333	0.17021575470539071	103821558	proteasome 20S subunit beta 3	PSMB3	PSMB3	proteasome 20S subunit beta 3	PSMB3	103821558	0.22501264554299052	103821558	-0.06189901697164798	4.9871535910012454	0.9324637657918009	0.3365115978904225	0.5571541172621114
LOC103821559	-1.6562275478936621	1.364825920455243	-1.213508274623932	0.22493555268736057	103821559	phosphatidylinositol-5-phosphate 4-kinase type 2 beta	PIP4K2B	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta	PIP4K2B	103821559	0.2851777719104486	103821559	-0.06956543571775024	6.28707660566102	2.547272628872111	0.11358400348521529	0.29878424054896113
LOC103821560	0.27742089060923364	0.7266292389867485	0.3817915323584893	0.7026160000657109	103821560	defender against cell death 1	DAD1	DAD1	defender against cell death 1	DAD1	103821560	0.7567307533345652	103821560	0.016367868047781477	3.785614621063875	0.05831991178248401	0.8096571284181502	0.9000405275571084
LOC103821561	0.9473596757070095	0.8232254223220259	1.1507901116985007	0.24981859379859367	103821561	NA	NA	MRPL33	mitochondrial ribosomal protein L33	MRPL33	103821561	0.312413319367904	103821561	0.042790931719247915	2.134835566402178	0.2754741173904463	0.6008257171259447	0.7660527893355794
LOC103821562	0.8562700366980914	1.2892414334376874	0.664165775695633	0.5065842154144609	103821562	short chain dehydrogenase/reductase family 39U member 1	SDR39U1	SDR39U1	short chain dehydrogenase/reductase family 39U member 1	SDR39U1	103821562	0.575761920762865	103821562	-0.10050478080347536	3.7403255888537164	1.9627295861859648	0.16426270381088595	0.3685043105569452
LOC103821564	7.325790996467949	9.715791685750323	0.7540086524510738	0.4508440262593058	103821564	NA	NA	MPP3	MAGUK p55 scaffold protein 3	MPP3	103821564	0.521876000641567	103821564	0.028298411566803867	-0.9076121305310753	0.029571166865667176	0.8637862592383441	0.9293138555395697
LOC103821565	-1.4236418805394553	2.396712673790672	-0.593997727014897	0.552513633240309	103821565	NA	NA	DUSP3	dual specificity phosphatase 3	DUSP3	103821565	0.6201494764233517	103821565	0.4175775887026015	0.6655053829320048	10.895961319680461	0.0013355622383787083	0.02798837437321449
LOC103821568	0.8035971660503889	1.5169449560960389	0.5297470833210065	0.596287298638875	103821568	MAX dimerization protein MLX	MLX	MLX	MAX dimerization protein MLX	MLX	103821568	0.6605430891872072	103821568	-0.07086460587217759	4.994621813294129	3.0955980540357175	0.08150813701519911	0.24676277597333793
LOC103821569	1.05436584212594	1.0139873831334203	1.039821460961124	0.2984228565308528	103821569	NA	NA	TUBG1	tubulin gamma 1	TUBG1	103821569	0.3655443414039926	103821569	-0.20051214249171867	6.312044599849528	10.451677438366824	0.001651873180295196	0.030787787887357993
LOC103821570	1.6551904075169073	0.7436074579061566	2.22589269367682	0.026021369882847933	103821570	enhancer of zeste 1 polycomb repressive complex 2 subunit	EZH1	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit	EZH1	103821570	0.07101534857729441	103821570	-0.3262143978749978	6.064217357678531	11.260147451696042	0.001113832257761943	0.025975139447038133
LOC103821571	1.1087310350168353	1.5565401897671949	0.7123047912965637	0.4762760577268102	103821571	receptor activity modifying protein 2	RAMP2	RAMP2	receptor activity modifying protein 2	RAMP2	103821571	0.5468845304669654	103821571	3.373691529064057e-4	0.39815277424094947	5.974682781160989e-6	0.9980546024741763	0.9990040539766735
LOC103821572	-1.738135384378789	1.3419494300314685	-1.2952316573792426	0.19524032710487113	103821572	NA	NA	SLC4A1AP	solute carrier family 4 member 1 adaptor protein	SLC4A1AP	103821572	0.25253184558445296	103821572	-0.09218995245216628	4.862959902559253	2.8038672038843178	0.09710644917777606	0.27258739360243
LOC103821573	2.8129190355098754	1.9016759232802616	1.4791789710718857	0.13909248830697368	103821573	vacuolar protein sorting 25 homolog	VPS25	VPS25	vacuolar protein sorting 25 homolog	VPS25	103821573	0.19170313217567778	103821573	-0.06625029187783231	7.894192124560168	2.9980752509113953	0.08639221872847581	0.25563487930085554
LOC103821574	0.19198746914918507	0.9969808031385219	0.192568872484609	0.8472966247644536	103821574	cyclin N-terminal domain containing 1	CNTD1	CNTD1	cyclin N-terminal domain containing 1	CNTD1	103821574	0.8782603250770786	103821574	-0.06367105903556125	4.995228610314751	0.7604806817322712	0.3852299525969929	0.6026085283995386
LOC103821575	0.5273545462603204	0.9860987712931041	0.5347887672233714	0.5927959312897665	103821575	beclin 1	BECN1	BECN1	beclin 1	BECN1	103821575	0.6574074241891509	103821575	-0.011889140387824512	6.934514512745337	0.04046747930030529	0.8409706288417453	0.916595645864676
LOC103821576	-1.2256054969011239	1.1976703041645527	-1.0233246099860993	0.30615439155937546	103821576	amine oxidase copper containing 3	NA	LOC103821576	amine oxidase copper containing 3	AOC3	103821576	0.3737043493237865	103821576	-0.050262131484751164	6.157860247542697	0.8906905538446521	0.3475242591044262	0.5692450493570025
LOC103821576	-1.2256054969011239	1.1976703041645527	-1.0233246099860993	0.30615439155937546	103821576	amine oxidase copper containing 3	NA	LOC103821576	amine oxidase copper containing 3	AOC3	103821576	0.3737043493237865	103821576	-0.050262131484751164	6.157860247542697	0.8906905538446521	0.3475242591044262	0.5692450493570025
LOC103821578	1.685949481832217	0.7350932332328521	2.293517890809051	0.02181820654912188	103821578	NA	NA	RPL27	ribosomal protein L27	RPL27	103821578	0.06104635652610718	103821578	-0.19426412118768072	9.334596463560656	4.828848658351195	0.030253642918233334	0.13638507179248188
LOC103821579	-0.3290128150873525	0.27335981826310285	-1.2035887980093871	0.22874855128325522	103821579	interferon induced protein 35	IFI35	IFI35	interferon induced protein 35	IFI35	103821579	0.28935277315692887	103821579	0.267380384965439	7.655348194750061	2.107673497982537	0.14963630160140215	0.3488849809181164
