Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ES95_610_MG-protein_14_2	ES95_610_MG-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49804441.0	0.0	20-50	57.0	23.556105446518806	49.34897719261622	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES96_610_MG-protein_21_1	ES96_610_MG-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48186965.0	0.0	20-50	52.0	21.5099045925282	49.55969683917632	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES96_610_MG-protein_21_2	ES96_610_MG-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48186965.0	0.0	20-50	55.0	25.271610761313173	49.275885169360635	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES97_SEM19-107_MG-protein_0_1	ES97_SEM19-107_MG-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47510705.0	0.0	20-50	51.0	21.59836974989265	49.544330461945364	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES97_SEM19-107_MG-protein_0_2	ES97_SEM19-107_MG-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47510705.0	0.0	20-50	55.0	23.480306219278248	49.4034996533939	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES98_SEM19-107_MG-protein_14_1	ES98_SEM19-107_MG-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56249946.0	0.0	20-50	52.0	22.6315632046912	49.55563009784934	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES98_SEM19-107_MG-protein_14_2	ES98_SEM19-107_MG-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56249946.0	0.0	20-50	56.0	24.096049305264206	49.40283496449934	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES99_SEM19-107_MG-protein_21_1	ES99_SEM19-107_MG-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46587404.0	0.0	20-50	51.0	22.689048000371468	49.54132492550991	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES99_SEM19-107_MG-protein_21_2	ES99_SEM19-107_MG-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46587404.0	0.0	20-50	56.0	24.72686455564186	49.39940134891397	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES9_172_Control-protein_0_1	ES9_172_Control-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45250946.0	0.0	20-50	53.0	19.961733386331563	49.55659209864916	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES9_172_Control-protein_0_2	ES9_172_Control-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45250946.0	0.0	20-50	56.0	22.626226778632212	49.35685306998886	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
